post_time,price,title,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,delivery available,cryptocurrency ok
2020-01-22T15:49:30-0800,$9999,2014 Toyota Corolla,2T1BURHE6EC212707,excellent,4 cylinders,fwd,gas,110000,blue,mid-size,clean,automatic,sedan,,
2020-01-22T15:48:43-0800,$21900,2016 Audi A3 Sedan 2.0T Premium Plus,WAUEBGFF8c1067580,like new,4 cylinders,4wd,gas,3600,black,mid-size,clean,automatic,sedan,,
2020-01-22T15:44:32-0800,$2000,2004 nissan murano se awd,JN8AZ08W04W319196,fair,6 cylinders,4wd,gas,154533,white,mid-size,clean,automatic,SUV,,
2020-01-22T15:42:49-0800,$1,2000 Mercedes-Benz E320,WDBJF65J7YB137507,fair,6 cylinders,rwd,gas,103390,,full-size,clean,automatic,sedan,,
2020-01-22T15:39:22-0800,$3200,2004 nissan murano,,,,,gas,,,,clean,automatic,,,
2020-01-22T15:39:19-0800,$6995,2012 Ford Fusion SE,,excellent,6 cylinders,fwd,gas,109000,white,mid-size,clean,automatic,sedan,,
2020-01-22T15:38:00-0800,$4500,2002 chevrolet silverado 1500,,good,8 cylinders,fwd,gas,162000,,,clean,automatic,truck,,
2020-01-22T15:35:00-0800,$8500,2009 Honda Crv,,good,4 cylinders,fwd,gas,106000,green,full-size,clean,automatic,hatchback,,
2020-01-22T15:32:09-0800,$338,2017 Toyota 86,JF1ZNAA17H8705211,excellent,4 cylinders,rwd,gas,13257,,,clean,automatic,coupe,,
2020-01-22T15:30:11-0800,$27999,2019 nissan nv1500 cargo van,,,,,gas,,,,clean,automatic,,,
2020-01-22T15:26:36-0800,$27999,2019 nissan nv1500 cargo van,,,,,gas,,,,clean,automatic,,,
2020-01-22T15:29:49-0800,$10500,2015 honda accord,1HGCR6F59FA004187,excellent,4 cylinders,fwd,gas,15500,black,mid-size,clean,automatic,sedan,,
2020-01-22T15:28:43-0800,$27000,1997 1997 Volkswagen Eurovan Camper,,,,,gas,,,,clean,automatic,,,
2020-01-22T15:27:11-0800,$12500,2011 audi q5 quattro premium plus,WA1LFAFP9BA005291,excellent,4 cylinders,4wd,gas,89023,blue,,clean,automatic,SUV,,
2020-01-22T15:25:35-0800,$9995,2016 FIAT 500,3C3CFFGE8GT113714,,,fwd,electric,18220,orange,sub-compact,clean,,hatchback,,
2020-01-22T15:22:01-0800,$4500,1992 1992 mighty max,,,,,gas,,,,clean,manual,,,
2020-01-22T15:21:23-0800,$31999,2019 NISSAN NV 2500 CARGO VAN,,,,,gas,,,,clean,automatic,,,
